,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
1,SNHG18,PDE1C,CTSC,S100A6,PAPPA,CKS2
2,IL32,CXCR4,SFTA1P,SOD3,RP13-463N16.6,UBE2C
3,CEMIP,SRGN,UBR4,S100A4,FNDC4,RACGAP1
4,SAA1,SOCS2,FABP5,MARCKSL1,PCSK1N,CDCA3
5,LITAF,FST,UCP2,PRSS23,TIMP3,CENPF
6,SAA2,FGF5,C19orf48,ADIRF,NGFR,DEPDC1
7,RARRES2,KHDRBS3,IL11,SPDEF,FAM43A,TPX2
8,TRIM16L,RP11-879F14.2,KISS1,S100A2,CST1,KIF20B
9,HLA-B,CASC8,LETM2,KRT81,TMEM38A,TUBA1C
10,FLG,FAM107B,ANKRD1,LGALS3,KRT19,AURKA
11,LRRC61,EVA1A,PSMC3IP,EMP1,ENPP1,GTSE1
12,CFLAR,PTK7,CD55,TSC22D1,SPDEF,NUF2
13,CYP1B1,MAP7D3,F3,CTSD,PLAT,ARL6IP1
14,THBS1,CDKN2D,ZNF804A,TIMP1,CCDC69,CEP55
15,NNMT,FAT3,SDF2L1,AGR2,PRSS3,NUSAP1
16,SLC1A3,CENPA,RP11-54H7.4,IFI27,RP11-879F14.2,CKAP2
17,RP5-1172A22.1,NEDD4L,ID3,TNS4,CDKN1C,CCNB1
18,TRIM16,COL8A1,PPME1,ITGA10,MAGI1,NEK2
19,SLC7A5,LRRC20,DDIT3,CD9,RP3-395M20.12,GPSM2
20,ZNF703,NR2F1,PDRG1,KRT19,SLCO4A1,KIF2C
21,DENND2A,UBE2S,RGS7,SLCO4A1,MINCR,HMGB2
22,ADAMTS12,KISS1,HSPB8,P2RY6,DAAM1,ANLN
23,NEDD9,PCSK1N,IL7R,ERRFI1,MORC4,TOP2A
24,TGM2,HHIP-AS1,FAM111B,GLRX,LOXL4,SGOL2
25,ABCA1,IGFBP3,DMKN,GPRC5C,LINC01444,CCNA2
26,C15orf48,HIST1H4C,CCL26,PTGES,PLLP,FAM83D
27,UGCG,SYNGR1,FSTL3,CST4,ITGA6,MKI67
28,RBM47,EDN1,RP11-301G19.1,SMIM14,SUFU,KPNA2
29,STK32C,KRTAP2-3,ACER3,SOX4,PVRL3,KIF14
30,CD82,TOP2A,GAL,WNT7B,C5orf46,CLDN4
